Project,TransactionPrice,Area,SaleDate,SaleType,PropertyType,Tenure,CompletionDate,NumberofUnits,PurchaserType,PostalCode,Floor,MaxFloor
WESTCOVE CONDOMINIUM,0,1248.62,2010-05-27,Resale,Condominium,99 yrs from 01/03/1995,1998,1,HDB,128042,3,17
THE GARDENS AT BISHAN,0,1151.75,2009-04-24,Resale,Condominium,99 yrs from 22/03/1997,2004,1,Private,575574,17,20
ALEX RESIDENCES,0,925.7,2015-08-12,New Sale,Apartment,99 yrs from 18/03/2013,Uncompleted,1,HDB,158744,22,39
LAKEVILLE,0,1162.51,2016-03-28,New Sale,Condominium,99 yrs from 30/04/2013,Uncompleted,1,HDB,648155,3,16
THE LAKEFRONT RESIDENCES,0,1216.33,2021-03-22,Resale,Condominium,99 yrs from 03/08/2010,2014,1,Private,648305,7,17
VALLEY PARK,0,1216.33,2014-09-03,Resale,Condominium,999 yrs from 21/06/1877,1997,1,Private,248358,17,20
RICCHEZZA,0,602.78,2009-02-09,New Sale,Apartment,Freehold,Uncompleted,1,HDB,425399,4,5
IMPERIAL HEIGHTS,0,775.01,2009-11-13,Sub Sale,Apartment,Freehold,Uncompleted,1,Private,438620,15,18
GOODWILL MANSION,0,1463.9,2002-11-05,Resale,Apartment,Freehold,1982,1,Private,329782,5,5
CENTRA HEIGHTS,0,430.56,2011-05-13,New Sale,Apartment,Freehold,Uncompleted,1,HDB,387607,12,13
OLINA LODGE,0,1539.25,1995-09-05,Resale,Condominium,Freehold,1990,1,Private,278735,4,4
VACANZA @ EAST,0,484.38,2010-11-30,New Sale,Condominium,Freehold,Uncompleted,1,Private,417398,8,12
LAKEVILLE,0,1302.44,2016-08-10,New Sale,Condominium,99 yrs from 30/04/2013,Uncompleted,1,Private,648164,11,16
PATERSON SUITES,0,1679.18,2007-06-25,New Sale,Condominium,Freehold,Uncompleted,1,Private,238550,11,22
ESCADA VIEW,0,753.48,2007-05-28,Resale,Condominium,Freehold,1997,1,Private,417657,8,12
