PostalCode,District,Sector,Region,PlanningArea,Latitude,Longitude
169479,3,16,Central Region,Bukit Merah,1.285195762,103.8276772
159958,3,15,Central Region,Queenstown,1.289912172,103.8043715
159959,3,15,Central Region,Queenstown,1.288410299,103.8042747
159961,3,15,Central Region,Queenstown,1.289666471,103.8048552
169480,3,16,Central Region,Bukit Merah,1.285327364,103.8283855
159957,3,15,Central Region,Queenstown,1.290583531,103.8047276
169588,3,16,Central Region,Bukit Merah,1.290094674,103.8300922
169016,3,16,Central Region,Outram,1.282961487,103.8398146
159953,3,15,Central Region,Queenstown,1.28861469,103.80501
169483,3,16,Central Region,Bukit Merah,1.284488518,103.8278936
169481,3,16,Central Region,Bukit Merah,1.285321853,103.8286404
169638,3,16,Central Region,Bukit Merah,1.289830342,103.8318434
169586,3,16,Central Region,Bukit Merah,1.289481986,103.8300854
159192,3,15,Central Region,Tanglin,1.294092228,103.8181076
159960,3,15,Central Region,Queenstown,1.289003462,103.8043293
169878,3,16,Central Region,Outram,1.286170845,103.8395676
159956,3,15,Central Region,Queenstown,1.290217095,103.8050788
149053,3,14,Central Region,Queenstown,1.287617926,103.8033911
159955,3,15,Central Region,Queenstown,1.289893751,103.8053264
159954,3,15,Central Region,Queenstown,1.289690046,103.8054704
159952,3,15,Central Region,Queenstown,1.28893478,103.8056078
169661,3,16,Central Region,Singapore River,1.290242596,103.8413851
169659,3,16,Central Region,Singapore River,1.289506319,103.8405357
169660,3,16,Central Region,Singapore River,1.289845043,103.8403113
169658,3,16,Central Region,Singapore River,1.289609716,103.8412764
159949,3,15,Central Region,Queenstown,1.291133405,103.8073548
159015,3,15,Central Region,Bukit Merah,1.292065647,103.8172952
159013,3,15,Central Region,Bukit Merah,1.29199745,103.8178807
159012,3,15,Central Region,Bukit Merah,1.29182878,103.8183669
168646,3,16,Central Region,Bukit Merah,1.282635886,103.8301863
168647,3,16,Central Region,Bukit Merah,1.282635886,103.8301863
148955,3,14,Central Region,Queenstown,1.293047665,103.8062482
148957,3,14,Central Region,Queenstown,1.292674254,103.8066632
148954,3,14,Central Region,Queenstown,1.292996047,103.8056656
169040,3,16,Central Region,Bukit Merah,1.284322108,103.83501
159967,3,15,Central Region,Bukit Merah,1.290505663,103.8225873
169568,3,16,Central Region,Bukit Merah,1.287058598,103.8277875
169278,3,16,Central Region,Bukit Merah,1.284776655,103.828459
169277,3,16,Central Region,Bukit Merah,1.284990037,103.828896
169813,3,16,Central Region,Bukit Merah,1.291818656,103.8251607
169814,3,16,Central Region,Bukit Merah,1.291840342,103.8255125
169279,3,16,Central Region,Bukit Merah,1.284341046,103.8291385
169767,3,16,Central Region,Bukit Merah,1.283505895,103.8344928
169905,3,16,Central Region,Bukit Merah,1.28186096,103.8305621
158746,3,15,Central Region,Bukit Merah,1.290553402,103.8156329
158747,3,15,Central Region,Bukit Merah,1.290477342,103.8160165
169907,3,16,Central Region,Bukit Merah,1.282151545,103.8301016
158749,3,15,Central Region,Bukit Merah,1.290951037,103.8170003
158748,3,15,Central Region,Bukit Merah,1.290944732,103.8170001
169262,3,16,Central Region,Bukit Merah,1.284341288,103.829126
168649,3,16,Central Region,Bukit Merah,1.282635886,103.8301863
158742,3,15,Central Region,Bukit Merah,1.290606945,103.8178669
158741,3,15,Central Region,Bukit Merah,1.29082513,103.8183315
158744,3,15,Central Region,Bukit Merah,1.290569997,103.8190008
149740,3,14,Central Region,Queenstown,1.295463429,103.8065158
149739,3,14,Central Region,Queenstown,1.295734335,103.8060302
159023,3,15,Central Region,Bukit Merah,1.293117406,103.8205055
159017,3,15,Central Region,Bukit Merah,1.29269479,103.8204115
168593,3,16,Central Region,Bukit Merah,1.284915709,103.829806
168592,3,16,Central Region,Bukit Merah,1.285435181,103.8297877
169281,3,16,Central Region,Bukit Merah,1.284013887,103.8297566
159019,3,15,Central Region,Bukit Merah,1.292819209,103.8192931
159029,3,15,Central Region,Bukit Merah,1.292375067,103.8228367
159027,3,15,Central Region,Bukit Merah,1.292546766,103.8216905
159028,3,15,Central Region,Bukit Merah,1.292449589,103.8223162
159026,3,15,Central Region,Bukit Merah,1.292547476,103.8210826
168594,3,16,Central Region,Bukit Merah,1.284165777,103.8298167
149456,3,14,Central Region,Queenstown,1.294746118,103.8068303
149457,3,14,Central Region,Queenstown,1.294336667,103.8070201
158745,3,15,Central Region,Bukit Merah,1.290030671,103.8171853
159187,3,15,Central Region,Tanglin,1.294356536,103.8189218
169280,3,16,Central Region,Bukit Merah,1.284013887,103.8297566
168595,3,16,Central Region,Bukit Merah,1.284013887,103.8297566
159022,3,15,Central Region,Bukit Merah,1.293199081,103.820154
168591,3,16,Central Region,Bukit Merah,1.284013887,103.8297566
159020,3,15,Central Region,Bukit Merah,1.293202895,103.8193331
159018,3,15,Central Region,Bukit Merah,1.292754716,103.8198559
149312,3,14,Central Region,Queenstown,1.299517208,103.8028069
148960,3,14,Central Region,Queenstown,1.292054817,103.8055464
148962,3,14,Central Region,Queenstown,1.291149506,103.8045736
159021,3,15,Central Region,Bukit Merah,1.29325615,103.8196783
148961,3,14,Central Region,Queenstown,1.291614775,103.8050527
169424,3,16,Central Region,Singapore River,1.291701598,103.8352818
169423,3,16,Central Region,Singapore River,1.291711946,103.8348462
168874,3,16,Central Region,Bukit Merah,1.276048396,103.8293638
168873,3,16,Central Region,Bukit Merah,1.276280878,103.8297954
168877,3,16,Central Region,Bukit Merah,1.276629534,103.8291052
168875,3,16,Central Region,Bukit Merah,1.276368603,103.8294778
168878,3,16,Central Region,Bukit Merah,1.276748602,103.8297034
168876,3,16,Central Region,Bukit Merah,1.276556768,103.8299749
168872,3,16,Central Region,Bukit Merah,1.276390119,103.8302713
99455,4,9,Central Region,Bukit Merah,1.27207409,103.8271879
99200,4,9,Central Region,Bukit Merah,1.26890032,103.8246355
109258,4,10,Central Region,Bukit Merah,1.272012388,103.8085143
99309,4,9,Central Region,Bukit Merah,1.276521347,103.82455
98828,4,9,Central Region,Bukit Merah,1.266175541,103.823801
99308,4,9,Central Region,Bukit Merah,1.276807973,103.8238475
99310,4,9,Central Region,Bukit Merah,1.276003419,103.8240247
109026,4,10,Central Region,Bukit Merah,1.272497622,103.8074254
98830,4,9,Central Region,Bukit Merah,1.2661859,103.8227447
98865,4,9,Central Region,Bukit Merah,1.266560106,103.8228925
